R_a R_b
14284644282995650330624 1000000000000000000000000

time order amount currency
0 BUY 98500829155338584064 BNB
1 BUY 53296402309184487424 BNB
2 BUY 208214857901748486144 BNB
3 BUY 97670005972093353984 BNB
4 SELL 26695265409271087104 BNB
5 SELL 42195387439205662720 BNB
6 SELL 210384648995497639936 BNB
7 SELL 186047087485094395904 BNB
8 BUY 425240656144518676480 BNB
9 BUY 101194102253261012992 BNB
10 BUY 146194968496130965504 BNB
11 BUY 80637675573108932608 BNB
12 BUY 163784669475046031360 BNB
13 SELL 45941840105439043584 BNB
14 SELL 18949196144041705472 BNB
15 SELL 118575748689472667648 BNB
16 SELL 287770295177358999552 BNB
17 SELL 130078698884342890496 BNB
18 SELL 122245070016215318528 BNB
19 BUY 388640981653345075200 BNB
20 SELL 57686902176597868544 BNB
21 BUY 276963743174810599424 BNB
22 BUY 170485837979067580416 BNB
23 SELL 254008305184481280000 BNB
24 BUY 238212517604315496448 BNB
25 BUY 77478645677349044224 BNB
26 SELL 85980310792416280576 BNB
27 SELL 39905537790426021888 BNB
28 SELL 172726895571620855808 BNB
29 SELL 54530539636178214912 BNB
30 SELL 131779264887711170560 BNB
31 SELL 121315410652065103872 BNB
32 SELL 156648416170875846656 BNB
33 SELL 88482585044337606656 BNB
34 BUY 51120070217002647552 BNB
35 BUY 80586129876634009600 BNB
36 SELL 66542048280527527936 BNB
37 BUY 196167833356372279296 BNB
38 BUY 1696011707095749376 BNB
39 BUY 180631732809548333056 BNB
40 SELL 50467392399463276544 BNB
41 BUY 64411121061661106176 BNB
42 BUY 87638145082284605440 BNB
43 SELL 87148744910566162432 BNB
44 SELL 78788121718118416384 BNB
45 BUY 249678520561963532288 BNB
46 SELL 60804423538320408576 BNB
47 SELL 27595953758187532288 BNB
48 SELL 125402039939053797376 BNB
49 SELL 34571864890585858048 BNB
50 BUY 236385999013817122816 BNB
51 BUY 36985946695041998848 BNB
52 BUY 80955340753724162048 BNB
53 BUY 169157235450989903872 BNB
54 BUY 232611176673315651584 BNB
55 BUY 282568842987548114944 BNB
56 SELL 23538574429196161024 BNB
57 BUY 153559106434397110272 BNB
58 BUY 46535812968049868800 BNB
59 SELL 1951668358979077376 BNB
60 SELL 13917474665515329536 BNB
61 SELL 92443962028672106496 BNB
62 SELL 232123359623074080 BNB
63 SELL 76297515581574774784 BNB
64 SELL 111667899886871969792 BNB
65 BUY 181016972867597369344 BNB
66 SELL 30025691620894576640 BNB
67 SELL 30335803820868022272 BNB
68 BUY 96855409440486260736 BNB
69 SELL 36632332258604945408 BNB
70 SELL 94197978442325622784 BNB
71 SELL 1804139451875016704 BNB
72 SELL 126963482194614697984 BNB
73 SELL 77169079688435892224 BNB
74 BUY 9997279298673674240 BNB
75 BUY 41213425879162970112 BNB
76 SELL 253729535824591945728 BNB
77 SELL 41047979160433893376 BNB
78 SELL 18962359080222085120 BNB
79 SELL 129971791013753323520 BNB
80 BUY 32224175882780401664 BNB
81 BUY 252345288730533855232 BNB
82 SELL 107667023108413554688 BNB
83 SELL 182582887144768405504 BNB
84 SELL 82306167994585841664 BNB
85 BUY 79206855453840031744 BNB
86 SELL 31763242187884314624 BNB
87 BUY 308065655851114561536 BNB
88 SELL 204140394414353055744 BNB
89 SELL 15553288556884580352 BNB
90 BUY 110311460242095570944 BNB
91 SELL 115268559266765799424 BNB
92 SELL 136382921263721070592 BNB
93 SELL 230211907162291011584 BNB
94 SELL 162213362615661035520 BNB
95 BUY 114464899776405225472 BNB
96 BUY 24738986013842804736 BNB
97 BUY 9558217022897223680 BNB
98 BUY 31725408563292147712 BNB
99 SELL 35544867403006717952 BNB
100 SELL 26756299675220361216 BNB
101 SELL 209562215110507167744 BNB
102 BUY 139404680302553972736 BNB
103 BUY 273593712641004470272 BNB
104 BUY 178407365251243376640 BNB
105 BUY 31284790988276654080 BNB
106 SELL 178818061999787474944 BNB
107 SELL 201702709719991615488 BNB
108 SELL 136486644015772975104 BNB
109 BUY 31479517974798000128 BNB
110 BUY 26282199264584052736 BNB
111 BUY 135065910158153203712 BNB
112 SELL 12262637295380045824 BNB
113 BUY 93491449680905142272 BNB
114 BUY 418907486306719891456 BNB
115 BUY 132573861719885824000 BNB
116 BUY 9606883125179592704 BNB
117 BUY 102667290143284838400 BNB
118 BUY 102005075749617385472 BNB
119 SELL 203086161632487342080 BNB
120 BUY 36059616752461807616 BNB
121 SELL 250519965977666289664 BNB
122 BUY 292796211374232371200 BNB
123 BUY 63526861126618316800 BNB
124 BUY 108249499822122745856 BNB
125 SELL 247600612403361087488 BNB
126 SELL 123105851694603190272 BNB
127 SELL 129094839481114836992 BNB
128 SELL 230743612299815124992 BNB
129 BUY 65638658784739164160 BNB
130 SELL 43321304268945825792 BNB
131 SELL 307029575960896208896 BNB
132 BUY 118004388713092333568 BNB
133 BUY 177449618288705110016 BNB
134 BUY 40573786456887320576 BNB
135 SELL 158344808752664903680 BNB
136 BUY 216007715747258761216 BNB
137 SELL 184436201425845878784 BNB
138 BUY 31961767309547212800 BNB
139 SELL 154394429783307714560 BNB
140 BUY 89833505397691629568 BNB
141 SELL 20326324138355630080 BNB
142 BUY 72473099991631896576 BNB
143 BUY 235507034115278667776 BNB
144 SELL 259334712930709438464 BNB
145 SELL 22748646571681091584 BNB
146 BUY 113419820290278948864 BNB
147 BUY 147000844839443742720 BNB
148 BUY 103285363638709895168 BNB
149 SELL 376820722327685890048 BNB
150 BUY 265274511385945505792 BNB
151 SELL 117224038358670442496 BNB
152 BUY 223510079339534057472 BNB
153 SELL 8507188060657426432 BNB
154 BUY 83365945111225303040 BNB
155 BUY 65811930244510220288 BNB
156 SELL 61826011759847456768 BNB
157 SELL 110568778165184987136 BNB
158 BUY 325487958803514654720 BNB
159 BUY 64667027841191157760 BNB
160 SELL 141592316021253275648 BNB
161 BUY 243548469659748663296 BNB
162 SELL 88921018766421180416 BNB
163 SELL 47359783616790085632 BNB
164 SELL 165419283384579096576 BNB
165 SELL 58175959138261532672 BNB
166 SELL 23847742313217167360 BNB
167 SELL 102357687787012767744 BNB
168 SELL 51661272353863753728 BNB
169 BUY 64327561032967421952 BNB
170 BUY 182669566974369431552 BNB
171 BUY 73081693758753316864 BNB
172 BUY 8558211572444634112 BNB
173 BUY 89227027072636698624 BNB
174 SELL 5511097081494881280 BNB
175 BUY 186200454689171243008 BNB
176 BUY 21122191827171262464 BNB
177 BUY 88985601859993042944 BNB
178 BUY 150341275136461275136 BNB
179 SELL 96170318014588698624 BNB
180 SELL 123410488460493062144 BNB
181 BUY 29255238931773419520 BNB
182 SELL 19121518675730841600 BNB
183 SELL 65350259839286083584 BNB
184 SELL 124147271214909784064 BNB
185 SELL 27913193666287042560 BNB
186 SELL 10161592284783181824 BNB
187 BUY 63163602380604063744 BNB
188 BUY 91185051483140341760 BNB
189 BUY 122195437789272539136 BNB
190 BUY 64761418288500867072 BNB
191 BUY 98079862178004992000 BNB
192 BUY 162624641158292439040 BNB
193 SELL 211288068733620092928 BNB
194 SELL 49133836901473845248 BNB
195 BUY 61119015060037779456 BNB
196 SELL 14944498550850766848 BNB
197 BUY 2962270762547632128 BNB
198 BUY 76555828673626816512 BNB
199 BUY 45672750595103932416 BNB
200 SELL 93498360342184247296 BNB
201 SELL 111496581335537483776 BNB
202 BUY 208097108738993487872 BNB
203 SELL 162738392145487527936 BNB
204 BUY 13988009026641520640 BNB
205 SELL 9901176840463450112 BNB
206 SELL 49791426853751545856 BNB
207 SELL 254165670169455558656 BNB
208 SELL 85589514607559983104 BNB
209 BUY 59864111769344163840 BNB
210 BUY 123576021868404490240 BNB
211 SELL 147447898695243563008 BNB
212 BUY 136248862223588737024 BNB
213 BUY 141325305212905734144 BNB
214 BUY 19594291311323103232 BNB
215 BUY 94762138110638260224 BNB
216 SELL 40851866522280034304 BNB
217 SELL 96102965350177325056 BNB
218 BUY 48103813657869975552 BNB
219 SELL 10365449004064430080 BNB
220 SELL 80689277279521767424 BNB
221 SELL 62839817098716594176 BNB
222 BUY 49473873535800524800 BNB
223 BUY 46009582035949281280 BNB
224 SELL 41917519558492127232 BNB
225 SELL 229326572903530168320 BNB
226 SELL 234310085584771514368 BNB
227 BUY 145726751151807545344 BNB
228 SELL 179547828931326869504 BNB
229 BUY 31802755640606846976 BNB
230 BUY 55334976079790063616 BNB
231 BUY 8176902063449233408 BNB
232 SELL 26839914844789747712 BNB
233 SELL 21472242281328361472 BNB
234 SELL 183408022564746723328 BNB
235 BUY 67643367278918959104 BNB
236 SELL 10836033537720141824 BNB
237 BUY 31848899789505593344 BNB
238 SELL 94040913869834190848 BNB
239 BUY 38569013576321597440 BNB
240 BUY 158204019071255969792 BNB
241 BUY 149059745587084754944 BNB
242 SELL 131111129024284311552 BNB
243 BUY 215953253485897220096 BNB
244 SELL 9077145010476669952 BNB
245 BUY 66535184317042876416 BNB
246 SELL 106764867776762904576 BNB
247 BUY 214873210351857795072 BNB
248 BUY 219711922184067579904 BNB
249 SELL 89002114262491889664 BNB
250 SELL 33905285983624708096 BNB
251 SELL 221645906275849469952 BNB
252 BUY 31826565213093998592 BNB
253 BUY 47344705482384596992 BNB
254 SELL 9711019094889707520 BNB
255 BUY 70399442222080327680 BNB
256 BUY 252998511020618022912 BNB
257 SELL 11789452864661143552 BNB
258 SELL 24443779832459767808 BNB
259 BUY 13761270317854724096 BNB
260 BUY 47169732773161738240 BNB
261 SELL 158998499579813134336 BNB
262 BUY 192672742540042240000 BNB
263 SELL 135349601849517064192 BNB
264 SELL 151959876725832155136 BNB
265 BUY 8467441582302854144 BNB
266 SELL 89940335198152753152 BNB
267 SELL 147252270641169154048 BNB
268 SELL 145606747396737777664 BNB
269 SELL 127402174592451051520 BNB
270 SELL 8552973501811721216 BNB
271 BUY 242446127425913815040 BNB
272 BUY 64890930871406452736 BNB
273 SELL 19502918800637415424 BNB
274 BUY 132845972702476500992 BNB
275 BUY 36723724472851247104 BNB
276 SELL 191907305391501737984 BNB
277 SELL 274792306109487972352 BNB
278 BUY 34094688860219322368 BNB
279 BUY 6023857183497966592 BNB
280 BUY 45390203037499301888 BNB
281 BUY 88474825404773584 BNB
282 SELL 5438135970949587968 BNB
283 BUY 77427218883773087744 BNB
284 BUY 62612905677431627776 BNB
285 BUY 39481668367343443968 BNB
286 SELL 114787883208626225152 BNB
287 BUY 18894501031059918848 BNB
288 SELL 1784971694049090816 BNB
289 SELL 164122439737262538752 BNB
290 SELL 247489065605472190464 BNB
291 SELL 4015723978471214592 BNB
292 SELL 41658060114932596736 BNB
293 SELL 183432630376213643264 BNB
294 BUY 199152623872478216192 BNB
295 BUY 144089940940690210816 BNB
296 BUY 181613374407857930240 BNB
297 BUY 25348957977859756032 BNB
298 SELL 1422569625852702208 BNB
299 SELL 171047507179098832896 BNB
300 SELL 183473669871817031680 BNB
301 SELL 79870816026415923200 BNB
302 SELL 71249578801402093568 BNB
303 BUY 158424183560477114368 BNB
304 SELL 22364828130113892352 BNB
305 SELL 196667465175318298624 BNB
306 BUY 203355044315188920320 BNB
307 SELL 15235627646008651776 BNB
308 SELL 24246537525768871936 BNB
309 BUY 48796714059380973568 BNB
310 SELL 38367076128548429824 BNB
311 SELL 53563567230467014656 BNB
312 SELL 17098053769417674752 BNB
313 SELL 117160180264845623296 BNB
314 BUY 14069831223845539840 BNB
315 SELL 48992573404928409600 BNB
316 BUY 97909785091422240768 BNB
317 SELL 253867322526475616256 BNB
318 BUY 284583737382981795840 BNB
319 BUY 34863795690287587328 BNB
320 BUY 139594899262527176704 BNB
321 BUY 144753704691045646336 BNB
322 SELL 184064944130326691840 BNB
323 SELL 91203963515972648960 BNB
324 SELL 108356436027665039360 BNB
325 SELL 97315281350016450560 BNB
326 SELL 68814745793652039680 BNB
327 SELL 37346705115918663680 BNB
328 BUY 213312434091409145856 BNB
329 BUY 180563147073013153792 BNB
330 BUY 72321228041813811200 BNB
331 SELL 265665978195373096960 BNB
332 BUY 44871667911091208192 BNB
333 SELL 185475300245610921984 BNB
334 BUY 41146718385653006336 BNB
335 SELL 115141197091827056640 BNB
336 BUY 58904167602066079744 BNB
337 BUY 230412890713492750336 BNB
338 SELL 112115099318189096960 BNB
339 SELL 68122611426788352000 BNB
340 BUY 177328436438703636480 BNB
341 SELL 355144286689816018944 BNB
342 BUY 38670647982402445312 BNB
343 BUY 26109161522546855936 BNB
344 SELL 23900625476613640192 BNB
345 BUY 150062309780139900928 BNB
346 SELL 98671435303887847424 BNB
347 SELL 14480351027415963648 BNB
348 BUY 41594157431622082560 BNB
349 BUY 73231337951026946048 BNB
350 SELL 377089207308352356352 BNB
351 BUY 270927935447187324928 BNB
352 BUY 80152194448732192768 BNB
353 SELL 415220719954197217280 BNB
354 BUY 6220035690095756288 BNB
355 SELL 46296222155369832448 BNB
356 BUY 168819591698969821184 BNB
357 BUY 197857878112983613440 BNB
358 BUY 373095713159000293376 BNB
359 BUY 196306908889890095104 BNB
360 SELL 101819570318810300416 BNB
361 BUY 253498966822835421184 BNB
362 BUY 141328551471140601856 BNB
363 SELL 162419156341855354880 BNB
364 SELL 765279559849659520 BNB
365 SELL 36780421750772801536 BNB
366 SELL 153134367871685754880 BNB
367 BUY 184525031365990809600 BNB
368 BUY 89635815613306470400 BNB
369 BUY 117840140929891270656 BNB
370 BUY 274293236725661696000 BNB
371 BUY 14481393742014916608 BNB
372 SELL 44595394004021731328 BNB
373 BUY 1109779720449296256 BNB
374 BUY 46555910815863169024 BNB
375 SELL 162072361780350550016 BNB
376 BUY 37390951175771987968 BNB
377 SELL 139462688513407549440 BNB
378 BUY 227532233917749166080 BNB
379 BUY 48180575092772413440 BNB
380 BUY 76024957914543849472 BNB
381 BUY 49603589253503737856 BNB
382 SELL 172671864430969421824 BNB
383 BUY 14682904757886717952 BNB
384 SELL 39330694723019407360 BNB
385 SELL 49246600551736262656 BNB
386 BUY 58923049256367448064 BNB
387 BUY 84605409919904563200 BNB
388 SELL 116012613982111367168 BNB
389 BUY 217840576010661593088 BNB
390 SELL 39665977679691423744 BNB
391 SELL 139217776666637287424 BNB
392 SELL 90332084901696356352 BNB
393 SELL 36083100826410373120 BNB
