R_a R_b
88551729198028111872 1000000000000000000000000

time order amount currency
0 SELL 225583965261790816 BTC
1 BUY 301195567221526528 BTC
2 BUY 216518149475234624 BTC
3 SELL 291083364376916608 BTC
4 SELL 320058990187334272 BTC
5 SELL 297633391978393984 BTC
6 SELL 64557604976727136 BTC
7 SELL 72839684239085040 BTC
8 BUY 182293534499891040 BTC
9 BUY 505828805280970048 BTC
10 SELL 787078783453452544 BTC
11 SELL 291125825573814720 BTC
12 BUY 806785060588268288 BTC
13 BUY 374356376871006080 BTC
14 BUY 191638969823529248 BTC
15 SELL 107567847112321152 BTC
16 SELL 1224761204978563072 BTC
17 SELL 1440204175069666816 BTC
18 BUY 275773833177524352 BTC
19 BUY 888290231553071360 BTC
20 BUY 281243238460547232 BTC
21 BUY 766920035808567552 BTC
22 BUY 303956061461590848 BTC
23 BUY 1059652479162792832 BTC
24 SELL 190508116272283712 BTC
25 BUY 570607684763089664 BTC
26 SELL 203660017557609760 BTC
27 SELL 51994396405703472 BTC
28 SELL 377870180642048576 BTC
29 SELL 902440829271071744 BTC
30 SELL 835130562842380160 BTC
31 BUY 157357775250261504 BTC
32 SELL 1285404616296844544 BTC
33 BUY 224883595310956256 BTC
34 SELL 392392708620320704 BTC
35 SELL 51046195919710160 BTC
36 SELL 26822177808014656 BTC
37 SELL 144843990991887488 BTC
38 SELL 224217226497941632 BTC
39 SELL 491871765645370816 BTC
40 BUY 1137531829488850176 BTC
41 SELL 476220999078634560 BTC
42 SELL 730636391277570816 BTC
43 BUY 1290350813063852800 BTC
44 SELL 514729475179692032 BTC
45 BUY 622421657382403712 BTC
46 BUY 927413637489820544 BTC
47 SELL 575349857463962176 BTC
48 SELL 485558827679057024 BTC
49 SELL 1160909528275226368 BTC
50 SELL 606657128091143296 BTC
51 BUY 83303088749929088 BTC
52 SELL 934934425376326272 BTC
53 SELL 753034404514565376 BTC
54 BUY 1009121027177968640 BTC
55 BUY 1940605740751223552 BTC
56 BUY 752109457388087296 BTC
57 SELL 75472906484904464 BTC
58 BUY 85919719426740928 BTC
59 SELL 474480715069077504 BTC
60 BUY 534656412442970432 BTC
61 BUY 652603867058758144 BTC
62 SELL 518231316145147520 BTC
63 SELL 689384598152329856 BTC
64 SELL 433692094428337792 BTC
65 SELL 125238422602620864 BTC
66 BUY 894520017306774656 BTC
67 SELL 281812362006590432 BTC
68 SELL 1010083583678706944 BTC
69 BUY 1148045702020880256 BTC
70 BUY 81826687469828128 BTC
71 SELL 317911635580713920 BTC
72 SELL 100769456892308544 BTC
73 SELL 288983785607982208 BTC
74 BUY 728572254881399296 BTC
75 BUY 325957884657498176 BTC
76 SELL 610466817254320000 BTC
77 SELL 581146010989073152 BTC
78 BUY 424671121014000640 BTC
79 BUY 811501449600882560 BTC
80 SELL 179734575059654848 BTC
81 SELL 130087400558636544 BTC
82 BUY 1135253172050823936 BTC
83 SELL 937542062463336320 BTC
84 SELL 83686145290556624 BTC
85 BUY 167329231500204416 BTC
86 SELL 1230222338884743680 BTC
87 SELL 170782851811139840 BTC
88 BUY 755850973954792960 BTC
89 BUY 72639426977175952 BTC
