R_a R_b
417625703647706752 13556511815674963968

time order amount currency
0 SELL 3163178718711967 ETH
1 SELL 3204030089803689 ETH
2 SELL 6588460938936058 ETH
3 SELL 2638245981099352 ETH
4 SELL 1535919423485410 ETH
5 SELL 186572497538783 ETH
6 BUY 7594391000006639 ETH
7 BUY 6859085825746791 ETH
8 SELL 12228185757657550 ETH
9 SELL 3948323082396343 ETH
10 SELL 6072994615031024 ETH
11 SELL 3712798905112946 ETH
12 SELL 6407800972234257 ETH
13 BUY 4150890402948248 ETH
14 SELL 806295285694869 ETH
15 SELL 1098337368899804 ETH
16 BUY 3894151076420438 ETH
17 BUY 5781886652672097 ETH
18 BUY 2885196225364816 ETH
19 SELL 12132285290026746 ETH
20 BUY 232488821172549 ETH
21 SELL 10052323984610368 ETH
22 SELL 6899348857117293 ETH
23 BUY 5802563447248499 ETH
24 SELL 7991433596982733 ETH
25 SELL 2510956574628964 ETH
26 BUY 7463636673795015 ETH
27 BUY 2407057296101023 ETH
28 BUY 3008136494686231 ETH
29 SELL 35936338139697 ETH
30 BUY 6101256965893420 ETH
31 SELL 2445902906718145 ETH
32 BUY 5482014383832001 ETH
33 BUY 5579591444071053 ETH
34 SELL 972305885432678 ETH
35 SELL 5624503487550780 ETH
36 BUY 4187124596880809 ETH
37 SELL 4572049720947269 ETH
38 SELL 3182363315123726 ETH
39 SELL 7157238466759086 ETH
40 BUY 41670747393307 ETH
41 SELL 5862500613067645 ETH
42 SELL 2317107422605990 ETH
43 BUY 1489363482213679 ETH
44 BUY 8679755092997121 ETH
45 SELL 8180538110883706 ETH
46 BUY 7530340052838924 ETH
47 SELL 1128710808077582 ETH
48 BUY 2372925566959283 ETH
49 BUY 6522458615159432 ETH
50 SELL 8917453855654844 ETH
51 SELL 1246683080882826 ETH
52 SELL 3042501741714554 ETH
53 SELL 7081847804721375 ETH
54 SELL 6246194154459594 ETH
55 SELL 6938003818009075 ETH
56 SELL 220092211575262 ETH
57 SELL 3312544049691390 ETH
58 SELL 1801373307733000 ETH
59 BUY 4868615526780196 ETH
60 BUY 787755717253424 ETH
61 BUY 3041088260422375 ETH
62 SELL 1236792387223795 ETH
63 BUY 1535922756995988 ETH
64 BUY 4131144109348283 ETH
65 SELL 10669986637939166 ETH
66 SELL 488618838518750 ETH
67 SELL 3986113229293930 ETH
68 BUY 1261396682232352 ETH
69 SELL 932499840265277 ETH
70 BUY 5572643577610892 ETH
71 SELL 2537750021722629 ETH
72 BUY 4442687959108071 ETH
73 SELL 1238160248333120 ETH
74 SELL 714627220087416 ETH
75 SELL 649724595148948 ETH
76 BUY 9481291836645534 ETH
77 BUY 676867533188130 ETH
78 SELL 2301632019810540 ETH
79 BUY 4833916162894247 ETH
80 SELL 1492625195309627 ETH
81 SELL 11755715488735940 ETH
82 BUY 3237122954506344 ETH
83 BUY 2530949657732928 ETH
84 BUY 2806393141855490 ETH
