R_a R_b
440056756572540764160 1000000000000000000000000

time order amount currency
0 SELL 275648266951748160 ETH
1 SELL 1685945024548232192 ETH
2 SELL 255247907825093984 ETH
3 BUY 411312140201857792 ETH
4 SELL 2422674411735897600 ETH
5 SELL 1544443191254458624 ETH
6 BUY 1152445395099448448 ETH
7 BUY 1366517294915297536 ETH
8 BUY 681596709830046208 ETH
9 SELL 779229390140301312 ETH
10 SELL 1392234517995518720 ETH
11 SELL 1074485384584647808 ETH
12 SELL 928263029234642560 ETH
13 BUY 2574752306318089216 ETH
14 SELL 1426573555589243392 ETH
15 SELL 5030313331825993728 ETH
16 SELL 5587915459855764480 ETH
17 BUY 1674640149414870016 ETH
18 SELL 975510594272464000 ETH
19 BUY 288362257237395200 ETH
20 SELL 1679548907817831936 ETH
21 SELL 811014428466194176 ETH
22 SELL 994205306699029760 ETH
23 SELL 2938134995504071680 ETH
24 BUY 240813227107196320 ETH
25 BUY 225171761747390080 ETH
26 BUY 4355940823398952960 ETH
27 BUY 1010272334760486528 ETH
28 SELL 2874724815129241088 ETH
29 SELL 1881281257060322816 ETH
30 BUY 1725990111552619008 ETH
31 SELL 6552330612556488704 ETH
32 BUY 411256885394607232 ETH
33 BUY 2872768240519349248 ETH
34 BUY 666092290100266368 ETH
35 SELL 3154155952429391872 ETH
36 BUY 2126012959550450944 ETH
37 BUY 1789726571481764864 ETH
38 SELL 3194139821963119616 ETH
39 SELL 1163252036280255232 ETH
40 SELL 1675375404945896192 ETH
41 SELL 3712115488352196608 ETH
42 BUY 701658079460628352 ETH
43 SELL 1518365647998564352 ETH
44 BUY 6071318167734205440 ETH
45 BUY 324785128103826560 ETH
46 BUY 5425304712814295040 ETH
47 SELL 2066143889283694080 ETH
48 SELL 1868282070292082176 ETH
49 BUY 5435795241500727296 ETH
50 SELL 990395457738031872 ETH
51 BUY 20653183905949392 ETH
52 SELL 240601273694267104 ETH
53 SELL 1091216373478857856 ETH
54 BUY 2130025456746579968 ETH
55 BUY 3484030096537367040 ETH
56 SELL 1049735765113268864 ETH
57 BUY 2434817425421556224 ETH
58 BUY 16486571738994372 ETH
59 BUY 4424312140598601728 ETH
60 BUY 229013749421710592 ETH
61 SELL 478213266921102336 ETH
62 SELL 1159865551576785920 ETH
63 SELL 1282762873472847872 ETH
64 SELL 66669232564663616 ETH
65 SELL 3559321740736265728 ETH
66 SELL 1538398045746305280 ETH
67 SELL 4825726923442573312 ETH
68 BUY 4694325116761149440 ETH
69 SELL 2197641881916922624 ETH
