R_a R_b
28626056806401828716544 2000000000000000000000000

time order amount currency
0 BUY 196752925820543172608 BNB
1 BUY 72810613505815126016 BNB
2 BUY 589952515473476550656 BNB
3 BUY 179293949844126466048 BNB
4 SELL 116306137184619724800 BNB
5 SELL 117846792758424272896 BNB
6 SELL 465420492704248299520 BNB
7 SELL 250247130494342856704 BNB
8 BUY 660563401522071207936 BNB
9 BUY 235674294245232902144 BNB
10 BUY 367510690032075210752 BNB
11 BUY 321082403087817506816 BNB
12 BUY 210382840820020641792 BNB
13 SELL 168179930713809879040 BNB
14 SELL 142189368732841099264 BNB
15 SELL 132101729744896147456 BNB
16 SELL 446715533167251095552 BNB
17 SELL 365252998546147835904 BNB
18 SELL 65748153852615360512 BNB
19 BUY 682953085957538840576 BNB
20 SELL 155009396731882602496 BNB
21 BUY 489194787069565796352 BNB
22 BUY 268598813339867774976 BNB
23 SELL 403568767318454763520 BNB
24 BUY 300164214981676171264 BNB
25 BUY 258535132600223727616 BNB
26 SELL 145307642190527987712 BNB
27 BUY 38986218403915702272 BNB
28 SELL 333248412799490326528 BNB
29 SELL 171870792639976570880 BNB
30 SELL 260095948714009853952 BNB
31 SELL 288085917051710570496 BNB
32 SELL 276785721129315794944 BNB
33 SELL 192995846103829544960 BNB
34 BUY 81376274310987350016 BNB
35 BUY 53409175406628495360 BNB
36 SELL 45099785792517652480 BNB
37 BUY 350979461394657837056 BNB
38 BUY 206001764587032084480 BNB
39 BUY 152701444845260996608 BNB
40 SELL 16224532046082459648 BNB
41 BUY 133705863861992833024 BNB
42 BUY 192879798422371106816 BNB
43 SELL 238065551198036688896 BNB
44 SELL 213201813740626673664 BNB
45 BUY 572712292457676079104 BNB
46 SELL 207499577360696999936 BNB
47 SELL 51573257585958346752 BNB
48 SELL 121412117480485896192 BNB
49 SELL 152083743909166514176 BNB
50 BUY 520402466266426900480 BNB
51 SELL 900153035021503488 BNB
52 BUY 170345467700568391680 BNB
53 BUY 304064132226154496000 BNB
54 BUY 606200493451910053888 BNB
55 BUY 602033311229632053248 BNB
56 SELL 67287262440899215360 BNB
57 BUY 287541433427297304576 BNB
58 BUY 15960317968925665280 BNB
59 SELL 3823870567659469312 BNB
60 BUY 24641993524139253760 BNB
61 SELL 270851017803310235648 BNB
62 BUY 187091382965740208128 BNB
63 SELL 173480326040666112000 BNB
64 SELL 354577992921033015296 BNB
65 BUY 456155235982205321216 BNB
66 SELL 22008917253500841984 BNB
67 SELL 84054245796211032064 BNB
68 BUY 182653277710887780352 BNB
69 SELL 229169478817831976960 BNB
70 SELL 6807742292108741632 BNB
71 SELL 98773426261410349056 BNB
72 SELL 171480924615254474752 BNB
73 SELL 171515042924987940864 BNB
74 BUY 7237050448940863488 BNB
75 BUY 82001188800524681216 BNB
76 SELL 414581761052326297600 BNB
77 SELL 234433991251265978368 BNB
78 BUY 78474687659963826176 BNB
79 SELL 334276013990747766784 BNB
80 BUY 2011573446987313152 BNB
81 BUY 684831746533120147456 BNB
82 SELL 319952540722373656576 BNB
83 SELL 419267973575922941952 BNB
84 SELL 133514583590127583232 BNB
85 BUY 187610393317499994112 BNB
86 SELL 160311132216978866176 BNB
87 BUY 713680088092482076672 BNB
88 SELL 415558065473906016256 BNB
89 SELL 108802143242817699840 BNB
90 BUY 287117138736783097856 BNB
91 SELL 200682352843505205248 BNB
92 SELL 319889336016385671168 BNB
93 SELL 525725545942594158592 BNB
94 SELL 139963480298501963776 BNB
95 BUY 320644122386820497408 BNB
96 SELL 253205198408180891648 BNB
97 BUY 76574600355834265600 BNB
98 BUY 119391103029789523968 BNB
99 SELL 210937649541403508736 BNB
100 BUY 38406394106528751616 BNB
101 SELL 402880644068412948480 BNB
102 BUY 438045355559981547520 BNB
