R_a R_b
6850940369943546 1102723424698774656

time order amount currency
0 SELL 73611894967387 BTC
1 BUY 13058155934234 BTC
2 SELL 76194102857883 BTC
3 SELL 64735043672551 BTC
4 SELL 13510427089498 BTC
5 SELL 21196214255383 BTC
6 BUY 137467122096597 BTC
7 BUY 50055080358298 BTC
8 SELL 212841601378614 BTC
9 BUY 16487626531875 BTC
10 SELL 155400946570539 BTC
11 SELL 44268289230459 BTC
12 SELL 69490990252087 BTC
13 BUY 88516196739669 BTC
14 BUY 36953911673463 BTC
15 BUY 28099390352438 BTC
16 BUY 75918065424203 BTC
17 SELL 46684253879824 BTC
18 BUY 96710914987595 BTC
19 SELL 156433188429723 BTC
20 BUY 66176916695071 BTC
21 SELL 81503326160701 BTC
22 SELL 123938544553491 BTC
23 BUY 274978196249056 BTC
24 SELL 164748840610686 BTC
25 BUY 21228351184434 BTC
26 BUY 26088195145888 BTC
27 BUY 16097633575498 BTC
28 BUY 79955741550762 BTC
29 SELL 63666396023153 BTC
30 BUY 11460817144603 BTC
31 BUY 69194933956261 BTC
32 SELL 25979925889789 BTC
33 BUY 71584264210553 BTC
34 SELL 47477735037801 BTC
35 SELL 62529006310907 BTC
36 BUY 28112549011660 BTC
37 SELL 83833015485075 BTC
38 SELL 47820193975676 BTC
39 SELL 146601669945027 BTC
40 BUY 124405841423979 BTC
41 SELL 60286310823906 BTC
42 SELL 101023995634080 BTC
43 BUY 135503254253690 BTC
44 BUY 9648991903368 BTC
45 SELL 66500859704874 BTC
46 BUY 85032830799584 BTC
47 SELL 24318765821263 BTC
48 BUY 18380223926145 BTC
49 SELL 53139937676738 BTC
50 SELL 192302352495870 BTC
51 SELL 14200911880645 BTC
52 SELL 150040245442755 BTC
53 SELL 130521129328766 BTC
54 SELL 65742322175370 BTC
55 SELL 16132401314030 BTC
56 BUY 98085340255958 BTC
57 SELL 124097480324526 BTC
58 SELL 11075816241342 BTC
59 SELL 10394877896800 BTC
60 BUY 55566290566837 BTC
61 BUY 94301889755177 BTC
62 SELL 40611966621558 BTC
63 SELL 5952394936394 BTC
64 BUY 10390808580300 BTC
65 SELL 92842444941967 BTC
66 BUY 64929536680526 BTC
67 BUY 27863842172935 BTC
68 SELL 155797542772959 BTC
69 BUY 111194266143954 BTC
70 BUY 53526492516753 BTC
71 SELL 33541823970039 BTC
72 BUY 103455085121290 BTC
73 SELL 5315649711618 BTC
74 BUY 80012585802730 BTC
75 SELL 30060389281141 BTC
76 BUY 100361555164824 BTC
77 SELL 16822874587730 BTC
78 BUY 53519861162618 BTC
79 BUY 126743709063484 BTC
80 SELL 14963368873808 BTC
81 SELL 157390963189295 BTC
82 BUY 158446856958476 BTC
83 BUY 28817740217262 BTC
84 BUY 20261708833025 BTC
85 BUY 9237634784313 BTC
86 SELL 88891779790582 BTC
87 SELL 190689473915985 BTC
88 BUY 157458321140553 BTC
89 BUY 15667370553179 BTC
90 SELL 40851258621313 BTC
91 BUY 97979204508381 BTC
92 BUY 114261579945674 BTC
93 BUY 151303311479804 BTC
94 SELL 10620206910426 BTC
95 SELL 57032935666119 BTC
96 SELL 3285392076762 BTC
97 BUY 21372282542079 BTC
98 SELL 26390308697882 BTC
99 SELL 42275594953332 BTC
100 BUY 17942673770984 BTC
101 BUY 75551911802605 BTC
102 SELL 95354510536293 BTC
103 SELL 179046643819105 BTC
104 BUY 1795002424914 BTC
105 BUY 43854395878522 BTC
106 BUY 74516355344264 BTC
107 SELL 12643427815444 BTC
108 SELL 28679321926338 BTC
109 BUY 92159992306905 BTC
110 BUY 57614836133909 BTC
111 SELL 85529695334330 BTC
112 BUY 29068542189788 BTC
113 SELL 62626772856430 BTC
114 SELL 250735872307844 BTC
115 SELL 27286751383562 BTC
116 BUY 40297004440214 BTC
117 SELL 67593852944775 BTC
118 SELL 44683065117606 BTC
119 BUY 140044293980815 BTC
120 BUY 2332728341649 BTC
121 BUY 189230352896682 BTC
122 SELL 309411793391866 BTC
123 BUY 2560723979631 BTC
124 SELL 140294532601878 BTC
125 BUY 196755475551899 BTC
126 SELL 49440128827029 BTC
127 SELL 15318074137560 BTC
128 BUY 136106562783806 BTC
129 SELL 109024671202635 BTC
130 BUY 19151340198251 BTC
131 BUY 103581109431458 BTC
132 SELL 106819138513672 BTC
133 SELL 22091929493917 BTC
134 BUY 53525163849453 BTC
135 BUY 46815558368280 BTC
136 SELL 99100961422773 BTC
137 BUY 80149488622662 BTC
138 SELL 2837942513122 BTC
139 BUY 149599009292859 BTC
140 SELL 146420350310677 BTC
141 BUY 15922949184337 BTC
142 BUY 79086049943286 BTC
143 SELL 139884856512532 BTC
144 BUY 124821865972533 BTC
145 BUY 40630465005813 BTC
146 SELL 160659514080327 BTC
147 SELL 20449287133152 BTC
148 SELL 100830118167640 BTC
149 BUY 212730600577235 BTC
150 SELL 212425079206065 BTC
151 BUY 65696488384276 BTC
152 SELL 180228048020749 BTC
153 SELL 24265454157417 BTC
154 SELL 26108149854408 BTC
155 SELL 26960547381812 BTC
156 BUY 63397042234679 BTC
157 BUY 96136298590270 BTC
158 SELL 204710578837023 BTC
159 BUY 18758614439179 BTC
160 BUY 75336103570522 BTC
161 SELL 212922702166294 BTC
162 BUY 145014409063096 BTC
163 BUY 84971464269719 BTC
164 BUY 93716090679886 BTC
165 BUY 68090703130221 BTC
166 SELL 40239074311131 BTC
167 BUY 200278543320442 BTC
168 SELL 46486461792841 BTC
169 SELL 129759102014473 BTC
170 SELL 77266898172405 BTC
171 BUY 6418366348291 BTC
172 SELL 37449715877220 BTC
173 BUY 27330230452912 BTC
174 BUY 32606633761197 BTC
175 SELL 103680305868865 BTC
176 SELL 14742466615341 BTC
177 SELL 45805886365437 BTC
178 SELL 92383299040738 BTC
179 BUY 158422321154131 BTC
180 SELL 38797026236483 BTC
181 SELL 92729576654610 BTC
182 BUY 13219221231885 BTC
183 BUY 154475361163402 BTC
184 BUY 66354381726332 BTC
185 SELL 87721889009366 BTC
186 BUY 9884036989624 BTC
187 SELL 31239023998860 BTC
188 SELL 48931468699721 BTC
189 SELL 63174658836566 BTC
190 SELL 21066563329725 BTC
191 SELL 11038563625187 BTC
192 SELL 55502959348422 BTC
193 BUY 100042148764158 BTC
194 BUY 23928546448091 BTC
195 SELL 48693462883098 BTC
196 SELL 19033458448667 BTC
197 SELL 2105603182301 BTC
198 SELL 80036797909707 BTC
199 SELL 1189775379687 BTC
200 BUY 63048944306210 BTC
201 BUY 72826943112084 BTC
202 SELL 177379016318398 BTC
203 BUY 204704835168966 BTC
204 SELL 76440785798572 BTC
205 BUY 51537461064281 BTC
206 SELL 32172875052052 BTC
207 BUY 157645017223097 BTC
208 BUY 84575563801274 BTC
209 SELL 14024119962707 BTC
210 BUY 4047859267802 BTC
211 BUY 64812384819772 BTC
212 SELL 110087957824130 BTC
213 SELL 81206546636632 BTC
214 SELL 51547529294938 BTC
215 SELL 4969412262145 BTC
216 BUY 150194462809376 BTC
217 BUY 163797480393023 BTC
218 SELL 6596999910443 BTC
219 BUY 31132665970566 BTC
220 BUY 45967994428910 BTC
221 BUY 122778648302655 BTC
222 SELL 58200858556001 BTC
223 SELL 48008973841718 BTC
224 BUY 49403848457114 BTC
225 BUY 144250548053632 BTC
226 BUY 78362770826219 BTC
227 SELL 111078123480531 BTC
228 BUY 123140987646357 BTC
229 SELL 31017905148218 BTC
230 SELL 60272641549172 BTC
231 SELL 29284273070676 BTC
232 SELL 27102757762358 BTC
233 BUY 98837340105979 BTC
234 BUY 87285161720277 BTC
235 SELL 83406629547927 BTC
236 BUY 41188742462333 BTC
237 SELL 81957191779072 BTC
238 BUY 39602566623614 BTC
239 SELL 119748937846407 BTC
240 SELL 144861422429101 BTC
241 SELL 74422095753633 BTC
242 BUY 65413799409799 BTC
243 SELL 107958138118566 BTC
244 SELL 42242133743752 BTC
245 SELL 161673101147118 BTC
246 BUY 123277577693443 BTC
247 SELL 179938422675478 BTC
248 SELL 98450950810551 BTC
249 BUY 130509982515432 BTC
250 BUY 37780203275626 BTC
251 BUY 113889195316487 BTC
252 SELL 49276010581996 BTC
253 SELL 112771287501495 BTC
254 SELL 9233851594226 BTC
255 SELL 23304070301516 BTC
256 SELL 196599836422693 BTC
257 BUY 64214504759716 BTC
258 BUY 11645949921453 BTC
259 SELL 41210296336632 BTC
260 BUY 3449732398845 BTC
261 BUY 100847619191705 BTC
262 SELL 203228908523865 BTC
263 BUY 245593766160911 BTC
264 BUY 4570170985427 BTC
265 SELL 75257179295675 BTC
266 BUY 114462566678638 BTC
267 BUY 147159933995831 BTC
268 BUY 36235339394217 BTC
269 BUY 72621332561712 BTC
270 SELL 68345489002369 BTC
271 SELL 219214641262423 BTC
272 BUY 22726069237239 BTC
273 SELL 95966551790513 BTC
274 SELL 35310484101101 BTC
275 SELL 70262501728177 BTC
276 BUY 214787256236952 BTC
277 BUY 101354263359219 BTC
278 SELL 41805056696006 BTC
279 SELL 97466675657898 BTC
280 SELL 48393330595038 BTC
281 BUY 127604964877460 BTC
282 BUY 36959593971378 BTC
283 SELL 94442213317962 BTC
284 BUY 43208680765627 BTC
285 BUY 28639764925840 BTC
286 BUY 100016657623727 BTC
287 BUY 64108530380347 BTC
288 BUY 32696676708415 BTC
289 BUY 40356330332482 BTC
290 BUY 51139103195965 BTC
291 BUY 88653739340349 BTC
292 SELL 15647982826928 BTC
293 BUY 107888709541814 BTC
294 SELL 117167529240617 BTC
295 BUY 7990934959155 BTC
296 SELL 79408389756376 BTC
297 BUY 106294650972389 BTC
298 BUY 14642742506768 BTC
299 BUY 35973402421713 BTC
300 BUY 63086823938058 BTC
301 SELL 46274977843609 BTC
302 SELL 32530183348241 BTC
303 SELL 39371761142793 BTC
304 SELL 34546320109096 BTC
305 BUY 61084929855286 BTC
306 SELL 155435285594225 BTC
307 BUY 53343857277112 BTC
308 BUY 18481348391183 BTC
309 SELL 10077683718330 BTC
310 BUY 28341208277787 BTC
311 SELL 40035634883894 BTC
312 SELL 58193364924530 BTC
313 BUY 25002506778797 BTC
314 BUY 83197657625691 BTC
315 BUY 72913490670908 BTC
316 SELL 8504378768193 BTC
317 BUY 105957960919863 BTC
318 SELL 228817708374720 BTC
319 BUY 23357303196791 BTC
320 SELL 25164812849279 BTC
321 SELL 96734746965607 BTC
322 BUY 176639847018049 BTC
323 BUY 22503164526497 BTC
324 SELL 18787948058341 BTC
325 SELL 2633242181214 BTC
326 BUY 82738005550585 BTC
327 BUY 79544570949226 BTC
328 SELL 117080926966566 BTC
329 SELL 74680889735869 BTC
330 BUY 40740542192672 BTC
331 BUY 140830909548059 BTC
332 SELL 130712581694248 BTC
333 BUY 31226913036031 BTC
334 SELL 78113579842227 BTC
335 BUY 32174794030770 BTC
336 SELL 9095369452749 BTC
337 SELL 41312890985426 BTC
338 BUY 112038823824507 BTC
