R_a R_b
176769659405495599104 2000000000000000000000000

time order amount currency
0 SELL 765042674793306752 BTC
1 BUY 697868695911608960 BTC
2 BUY 570806790221894272 BTC
3 SELL 535920455336423616 BTC
4 SELL 928040994299550464 BTC
5 SELL 316347842371214912 BTC
6 SELL 8058577216843332 BTC
7 SELL 442167639049444032 BTC
8 BUY 627764913404149632 BTC
9 BUY 994785546404415360 BTC
10 SELL 1841121582284785152 BTC
11 SELL 701922825537167232 BTC
12 BUY 1860911679162228480 BTC
13 BUY 923207251089735296 BTC
14 BUY 98355988125149456 BTC
15 SELL 102636001293603840 BTC
16 SELL 2352856210811154432 BTC
17 SELL 3225899430135996416 BTC
18 BUY 1047711815513650944 BTC
19 BUY 1802321878789001728 BTC
20 BUY 674681422697602816 BTC
21 BUY 1451682522310449152 BTC
22 BUY 140385806664170336 BTC
23 BUY 2270324509185797888 BTC
24 SELL 331402245674894400 BTC
25 BUY 830312497669439104 BTC
26 BUY 61099641782419664 BTC
27 SELL 410647363440773440 BTC
28 SELL 547382651812796416 BTC
29 SELL 1275630870013827584 BTC
30 SELL 2817388152690398208 BTC
31 BUY 771707093404273792 BTC
32 SELL 2462452520509742592 BTC
33 BUY 119779497692235280 BTC
34 SELL 900259089576905984 BTC
35 BUY 639915358290323840 BTC
36 SELL 534635896959059648 BTC
37 SELL 163897331910959552 BTC
38 SELL 780515056366510848 BTC
39 SELL 1161855044295975936 BTC
40 BUY 2911987843230803968 BTC
41 SELL 1299895626402303488 BTC
42 SELL 1325313992704508416 BTC
43 BUY 2732405397027435008 BTC
44 SELL 1216318595526303232 BTC
45 BUY 1054071897698094080 BTC
46 BUY 2220466397979777280 BTC
47 SELL 1366162584471879936 BTC
48 SELL 780509217362691712 BTC
49 SELL 2661686334063631360 BTC
50 SELL 599970900424864384 BTC
51 BUY 224257020511856800 BTC
52 SELL 2488547677457546752 BTC
53 SELL 1090948408521541120 BTC
54 BUY 1663005272461674496 BTC
55 BUY 4316152974814286848 BTC
56 BUY 1221342351904638720 BTC
57 SELL 33965737957004192 BTC
58 SELL 118605873137340720 BTC
59 SELL 487158450594563392 BTC
60 BUY 696368391765787520 BTC
61 BUY 1390793536828397312 BTC
62 SELL 1387698243084429312 BTC
63 SELL 949533644951685632 BTC
64 SELL 513733967441112320 BTC
65 SELL 531048253273183936 BTC
66 BUY 2019866696626167040 BTC
67 SELL 1005504287372588160 BTC
68 SELL 2085453091886336000 BTC
69 BUY 1921451794741898240 BTC
70 BUY 857297546234832512 BTC
71 SELL 386305872218457600 BTC
72 SELL 584834393375103872 BTC
73 SELL 504413629026686272 BTC
74 BUY 1201821059045840896 BTC
75 BUY 454980029338173632 BTC
76 SELL 942864873871542400 BTC
77 SELL 1285006818448692992 BTC
78 BUY 1037762668323665536 BTC
79 BUY 1698613138469966080 BTC
80 BUY 245015517761316928 BTC
81 SELL 905905808854242816 BTC
82 BUY 1890261531300666368 BTC
83 SELL 1442567319001568768 BTC
84 SELL 557840151761325824 BTC
85 BUY 861885678737451136 BTC
86 SELL 2718021968934095872 BTC
87 SELL 513390380354422848 BTC
88 BUY 2041844147114204672 BTC
89 SELL 138337824418954368 BTC
90 BUY 96402452717399008 BTC
91 BUY 965450211434387072 BTC
92 BUY 1562981864200850176 BTC
93 SELL 190509635848769664 BTC
94 SELL 1305771142979068672 BTC
95 SELL 757200374946762624 BTC
96 BUY 781282221503829504 BTC
97 BUY 254233546412393696 BTC
98 SELL 910195569247122176 BTC
