R_a R_b
867337997501157343232 2000000000000000000000000

time order amount currency
0 SELL 3461330148254774272 ETH
1 SELL 11933843233720608768 ETH
2 BUY 9595688562868645888 ETH
3 SELL 7127051348535474176 ETH
4 SELL 6402979344607843328 ETH
5 BUY 531726268909665152 ETH
6 BUY 2567424607480461312 ETH
7 BUY 7274687386163350528 ETH
8 SELL 6943103758220445696 ETH
9 BUY 1226102136437475584 ETH
10 BUY 328785130730352640 ETH
11 SELL 6059523141216005120 ETH
12 BUY 2252968250499975424 ETH
13 BUY 4894313295808729088 ETH
14 SELL 1692371988617423872 ETH
15 SELL 16032512830991323136 ETH
16 SELL 9351097332047060992 ETH
17 BUY 5561941083337274368 ETH
18 SELL 6514697608957590528 ETH
19 BUY 5710380092704781312 ETH
20 SELL 9918113378886004736 ETH
21 SELL 244610071314014016 ETH
22 BUY 6869393955354326016 ETH
23 SELL 11471183452740319232 ETH
24 BUY 148982839002542272 ETH
25 BUY 8568552084387988480 ETH
26 SELL 2446891383088541184 ETH
27 BUY 3683067188007385088 ETH
28 SELL 5532346059313795072 ETH
29 SELL 3417081723079150080 ETH
30 BUY 5302785592588406784 ETH
31 SELL 9232068056610955264 ETH
32 SELL 3030178298921100800 ETH
33 BUY 8927810852107768832 ETH
34 SELL 619587030575416960 ETH
35 SELL 6071818634150417408 ETH
36 BUY 7197135601713057792 ETH
37 BUY 1974810279254142976 ETH
38 SELL 13155306096735784960 ETH
39 SELL 473240852619369408 ETH
40 SELL 1810340087490885632 ETH
41 SELL 6700204768558592000 ETH
42 BUY 2025000747313242880 ETH
43 BUY 1292288675131089920 ETH
44 BUY 6625256707369431040 ETH
45 BUY 211807456365590944 ETH
46 BUY 7926535157300577280 ETH
47 SELL 730925033676385280 ETH
48 SELL 3286155378833882624 ETH
49 BUY 10437244555545362432 ETH
50 SELL 2015591318443057408 ETH
51 SELL 1671871941392623616 ETH
52 BUY 5984055609935012864 ETH
53 SELL 4355346004903822336 ETH
54 BUY 4033406193602445312 ETH
55 BUY 7100289226459494400 ETH
56 SELL 5210784089660023808 ETH
57 BUY 6527752943561722880 ETH
58 SELL 99002211381275632 ETH
59 BUY 3335213180079108608 ETH
60 BUY 56667709731982544 ETH
61 BUY 5382814826857042944 ETH
62 SELL 4444785383083171840 ETH
63 SELL 2348427111445175808 ETH
64 SELL 1350612169749524480 ETH
65 SELL 1883580040149013248 ETH
66 SELL 4569749596220276736 ETH
67 SELL 12417536428877950976 ETH
68 BUY 11585350173233905664 ETH
69 SELL 3984767701539794944 ETH
70 BUY 3083296997115553280 ETH
71 SELL 4604887609859929600 ETH
72 BUY 191353201239621728 ETH
73 SELL 14278320899567005696 ETH
74 BUY 2940397210176115712 ETH
75 SELL 782337058866005504 ETH
76 BUY 3278862759120101888 ETH
77 BUY 695013527567880320 ETH
78 SELL 8886368612410137600 ETH
79 BUY 3415754342627565056 ETH
80 SELL 5539657464402580480 ETH
81 BUY 1387353539176501760 ETH
82 SELL 13205918775633448960 ETH
83 SELL 2410192211114122240 ETH
84 BUY 1982093790764565760 ETH
85 BUY 1765292956867369984 ETH
86 SELL 3006441169764116480 ETH
87 BUY 5507376743747613696 ETH
88 BUY 5050139043898639360 ETH
89 BUY 4010674146490373632 ETH
90 SELL 2436316889986869760 ETH
91 BUY 5722943695151457280 ETH
92 BUY 2828995607724436992 ETH
93 SELL 6599776387891324928 ETH
94 BUY 7391044887974885376 ETH
95 SELL 507366894227288896 ETH
96 BUY 10109951568759242752 ETH
97 SELL 7764381071878346752 ETH
98 BUY 6958449464378077184 ETH
99 SELL 7284686267084907520 ETH
100 SELL 8482486159484210176 ETH
101 BUY 409538053262735936 ETH
102 SELL 6010082446809406464 ETH
103 BUY 5071300189670978560 ETH
104 SELL 1370843075371794944 ETH
105 SELL 2553481840255131136 ETH
106 SELL 11025305635769767936 ETH
107 SELL 1365167811592641536 ETH
108 BUY 4497535361885980160 ETH
109 BUY 4419387197137893888 ETH
110 BUY 10225185637083768832 ETH
111 SELL 5584283862166103040 ETH
112 SELL 14675634203468120064 ETH
113 BUY 8248530633970972672 ETH
114 BUY 2793522662181089792 ETH
115 BUY 1900820415982366208 ETH
116 SELL 2960421423827483648 ETH
117 SELL 2741841270210897920 ETH
118 BUY 13600516857703495680 ETH
119 BUY 6139235963721489408 ETH
120 SELL 2651472666212953088 ETH
121 SELL 4578009643168684544 ETH
122 SELL 13631919758293065728 ETH
123 BUY 14010061100494567424 ETH
124 BUY 5112105429533812736 ETH
125 SELL 9555481117951444992 ETH
126 BUY 984131840289478528 ETH
127 BUY 3685762951361539072 ETH
128 SELL 6905176920659186688 ETH
129 SELL 1683897742653357568 ETH
130 SELL 6802668168405262336 ETH
131 BUY 206869575796645216 ETH
132 BUY 7811861606977572864 ETH
133 SELL 5297009889480932352 ETH
134 SELL 1634480990643510272 ETH
135 BUY 7052427255067072512 ETH
136 BUY 2296027775123775488 ETH
137 SELL 2607465842317765120 ETH
138 BUY 1265500610331628288 ETH
139 BUY 1654309928341263104 ETH
140 SELL 9491359022387542016 ETH
141 BUY 14807319187945267200 ETH
142 SELL 12908725155904221184 ETH
143 SELL 1821246908089392384 ETH
144 BUY 2482101096301448704 ETH
145 SELL 2886972963986522624 ETH
146 SELL 3861032656684528640 ETH
147 BUY 2227961528678633728 ETH
148 SELL 4134307212795306496 ETH
149 SELL 91639831308839344 ETH
150 BUY 598775628139378560 ETH
151 BUY 5693969898590580736 ETH
152 SELL 4545701574575218688 ETH
153 BUY 5229429665394264064 ETH
154 BUY 6510663327672659968 ETH
155 SELL 2041366278768578048 ETH
156 BUY 1185438558215992064 ETH
157 BUY 8737047676255883264 ETH
158 BUY 301860233924003328 ETH
159 SELL 4012563866899768320 ETH
160 SELL 3222803418006264832 ETH
161 BUY 2418691593566450176 ETH
162 SELL 5958319309812168704 ETH
163 SELL 519847026346042176 ETH
164 BUY 4636663170895303680 ETH
165 SELL 6508878928810645504 ETH
166 SELL 7776130630843113472 ETH
167 BUY 6341984372390697984 ETH
168 BUY 1964726105906151936 ETH
169 SELL 1308728384387677696 ETH
170 SELL 14303463713907945472 ETH
171 BUY 11115149856622565376 ETH
172 BUY 36379978272520928 ETH
173 BUY 3463489123164208640 ETH
174 BUY 945927220721159808 ETH
175 BUY 1858807081037866752 ETH
176 SELL 10828922192621803520 ETH
177 BUY 10715333663475007488 ETH
178 SELL 11603109761722408 ETH
179 SELL 604117677215185664 ETH
180 SELL 3157502976214686720 ETH
181 BUY 13318083060281765888 ETH
182 SELL 4050774238526742016 ETH
183 SELL 11044047226453813248 ETH
184 BUY 7847486715086347264 ETH
185 BUY 10071208483356485632 ETH
186 BUY 62735109991876928 ETH
187 SELL 10629533027019419648 ETH
188 SELL 748428376958145280 ETH
189 BUY 3483031577917358592 ETH
190 SELL 1370235129552270336 ETH
191 BUY 14064602554868201472 ETH
192 SELL 10043397016320227328 ETH
193 SELL 1635727822529020160 ETH
194 SELL 3025958368241049600 ETH
195 BUY 3913585828646660096 ETH
196 BUY 4656143151090191360 ETH
197 BUY 828755052688393344 ETH
198 SELL 4801666694185996288 ETH
199 BUY 8878140638972809216 ETH
200 SELL 580379814211482880 ETH
201 SELL 2109518382806641152 ETH
202 BUY 12334560136968888320 ETH
203 SELL 3676742408086738432 ETH
204 SELL 4397054642666830848 ETH
205 BUY 1126866058285372672 ETH
206 SELL 1619103292226441216 ETH
207 BUY 7225298055815755776 ETH
208 BUY 4292528378923748352 ETH
209 SELL 1878267135633336576 ETH
210 SELL 5885421871017911296 ETH
211 BUY 8193492539855355904 ETH
212 BUY 1315696281828877568 ETH
213 SELL 6238565846073697280 ETH
214 SELL 6242140426836954112 ETH
215 SELL 639923370144742912 ETH
216 BUY 3008452567770745856 ETH
217 BUY 5625122168491088896 ETH
218 BUY 6453220712949018624 ETH
219 SELL 2800952632724147200 ETH
220 SELL 5861980808332305408 ETH
221 BUY 5977193436700645376 ETH
222 BUY 572879177926211008 ETH
